,0
0,73.78905487060547
1,-37.88747024536133
2,-14.102677345275879
3,116.15228271484375
4,-105.05889892578125
5,-91.03368377685547
6,77.89281463623047
7,-34.92906188964844
8,146.30592346191406
9,107.40470886230469
10,-67.86402893066406
11,-30.829126358032227
12,68.08213806152344
13,95.64936065673828
14,128.89788818359375
15,-250.97897338867188
16,84.44940185546875
17,-1.6691551208496094
18,-4.82197380065918
19,68.14302062988281
20,148.98316955566406
21,-11.866754531860352
22,58.43159103393555
23,-319.6773681640625
24,-172.54737854003906
25,-134.89620971679688
26,-71.19068908691406
27,72.39300537109375
28,42.29214859008789
29,-73.98484802246094
30,-141.86923217773438
31,31.434354782104492
32,-20.71166229248047
33,7.660396575927734
34,22.15460968017578
35,6.374509811401367
36,101.80301666259766
37,-6.944755554199219
38,2.4294958114624023
39,51.68128204345703
40,63.625152587890625
41,-72.83495330810547
42,83.65336608886719
43,66.83954620361328
44,125.37633514404297
45,-50.633216857910156
46,-14.569853782653809
47,183.2484588623047
48,-92.44525909423828
49,83.00703430175781
50,-56.56553649902344
51,96.8397216796875
52,-121.35456848144531
53,110.76060485839844
54,1.5515880584716797
55,22.031892776489258
56,10.423689842224121
57,-24.006088256835938
58,-20.668975830078125
59,50.458091735839844
60,-53.21735382080078
61,100.48164367675781
62,-4.534195423126221
63,28.614395141601562
64,-15.50860595703125
65,-77.965576171875
66,-65.64411926269531
67,29.351043701171875
68,-73.94984436035156
69,-14.310876846313477
70,-47.99739074707031
71,-39.86848449707031
72,52.111534118652344
73,-8.971639633178711
74,-163.31272888183594
75,88.90209197998047
76,-36.0306510925293
77,-63.94923400878906
78,91.48462677001953
79,-21.880102157592773
80,65.45655059814453
81,-5.862552642822266
82,115.4186019897461
83,-301.94635009765625
84,194.2281951904297
85,71.44178771972656
86,-83.184814453125
87,62.53574752807617
88,-54.748294830322266
89,55.783592224121094
90,-47.51097869873047
91,81.78404998779297
92,-5.506534576416016
93,177.4033203125
94,0.0736989974975586
95,-115.01119995117188
96,-33.32938766479492
97,130.5421905517578
98,-64.6103515625
99,-38.61478805541992
100,9.397334098815918
101,16.013160705566406
102,13.709142684936523
103,-14.649744033813477
104,36.73561096191406
105,31.49268341064453
106,37.596778869628906
107,14.308691024780273
108,11.643339157104492
109,-58.655548095703125
110,32.175453186035156
111,45.98338317871094
112,99.65262603759766
113,-52.19968795776367
114,30.30272102355957
115,-0.7430076599121094
116,-19.74250602722168
117,-4.679161071777344
118,-14.595382690429688
119,66.39619445800781
120,-31.057323455810547
121,42.02684020996094
122,-25.859661102294922
123,26.390792846679688
124,64.08566284179688
125,-10.501365661621094
126,-74.7191390991211
127,3.7292098999023438
128,45.99464797973633
129,-30.44671058654785
130,27.936119079589844
131,-62.68732452392578
132,34.48373794555664
133,82.42052459716797
134,-40.633907318115234
135,47.8505973815918
136,-43.98508071899414
137,49.82223892211914
138,-6.399233818054199
139,73.74991607666016
140,-8.98779296875
141,55.348793029785156
142,125.48719024658203
143,1.6133003234863281
144,-15.110739707946777
145,227.241943359375
146,142.43215942382812
147,-82.038818359375
148,-14.473155975341797
149,-70.27996826171875
150,145.84674072265625
151,49.21425247192383
152,63.145267486572266
153,29.76968002319336
154,-25.96040916442871
155,144.59046936035156
156,124.8182373046875
157,-57.26817321777344
158,-84.32074737548828
159,-27.34330177307129
160,44.775001525878906
161,-48.941341400146484
162,4.992177963256836
163,52.61518478393555
164,-44.54157257080078
165,157.408447265625
166,-194.07354736328125
167,-58.44731903076172
168,25.598812103271484
169,-10.871692657470703
170,-26.256423950195312
171,-47.483360290527344
172,42.72476577758789
173,-53.657432556152344
174,-47.63490676879883
175,-52.059356689453125
176,-7.82771110534668
177,-93.19712829589844
178,56.753196716308594
179,-156.9396209716797
180,46.8243408203125
181,123.17263793945312
182,-37.666568756103516
183,31.569114685058594
184,-9.878469467163086
185,-47.689292907714844
186,-19.3275089263916
187,4.922660827636719
188,68.5077896118164
189,137.5801544189453
190,-58.00472640991211
191,89.28175354003906
192,94.86067962646484
193,89.34819030761719
194,72.17874145507812
195,-203.17724609375
196,-71.15179443359375
197,-21.570634841918945
198,-29.224685668945312
199,49.96472930908203
200,-16.022430419921875
201,-39.41981887817383
202,-74.07806396484375
203,-35.417633056640625
204,84.43159484863281
205,314.9540710449219
206,0.691436767578125
207,112.12202453613281
208,230.55929565429688
209,57.49622344970703
210,253.6612548828125
211,-0.3323211669921875
212,-42.693634033203125
213,-49.83899688720703
214,-93.70755004882812
215,74.41297912597656
216,76.15493774414062
217,29.413551330566406
218,-75.56318664550781
219,24.050861358642578
220,-54.38486862182617
221,-23.148792266845703
222,-2.2767820358276367
223,142.84996032714844
224,0.7308417558670044
225,35.466835021972656
226,-50.257999420166016
227,100.28573608398438
228,-40.446781158447266
229,40.13890075683594
230,102.1199722290039
231,-47.928287506103516
232,-97.83889770507812
233,-9.731256484985352
234,-92.07362365722656
235,87.51790618896484
236,-201.34140014648438
237,-82.56437683105469
238,-27.740371704101562
239,-27.575908660888672
240,23.31536865234375
241,-79.32247924804688
242,16.052536010742188
243,-23.081653594970703
244,75.23760986328125
245,66.04976654052734
246,-98.72045135498047
247,105.75765228271484
248,-24.711166381835938
249,46.88084411621094
250,86.23827362060547
251,126.26786804199219
252,-124.72926330566406
253,52.470054626464844
254,36.321372985839844
255,12.913070678710938
256,74.83866119384766
257,0.4495033025741577
258,68.51111602783203
259,10.319303512573242
260,-5.270662307739258
