,lrd,lrg,epochs,SR_val,type,ticker,hid_g,hid_d,RMSE,MAE,SR_w scaled,PnL_w,Close-to-Open SR_w,Open-to-Close SR_w,Corr,Pos mn,Neg mn,narrow dist,narrow means dist,RMSE val,MAE val,PnL_w val,SR_w scaled val,Corr val,Pos mn val,Neg mn val
0,0.0001,0.0001,100.0,,PnL,TCS,8.0,8.0,0.006533474195748568,0.004649970214813948,1.1470549365167275,1.352115860169618,1.4122311787829311,0.2905999670530376,0.06298263762026847,0.6360153256704981,0.36398467432950193,False,False,0.008611200377345085,0.0059726969338953495,0.6147013790189073,0.2774691085909016,0.011737167428152648,0.5596153846153846,0.4403846153846154
1,0.0001,0.0001,100.0,,PnL MSE,TCS,8.0,8.0,0.006477941293269396,0.004671328701078892,0.817845245543121,0.9298812677634174,-0.25572397054715623,1.236498335795198,0.058130729645054315,0.5651340996168582,0.43486590038314177,False,False,0.008442063815891743,0.005896915215998888,3.430690027329211,1.7375973779161018,0.0996797054982255,0.5134615384615384,0.48653846153846153
2,0.0001,0.0001,100.0,,PnL MSE STD,TCS,8.0,8.0,0.006484177429229021,0.004670140333473682,1.3095467149083486,3.2217642201888608,0.4101485498262467,1.315079167682249,0.059175019146225805,0.4521072796934866,0.5478927203065134,False,False,0.008531522005796432,0.005950587801635265,5.191430926437562,1.4433631805463014,0.0594094388281178,0.4423076923076923,0.5576923076923077
3,0.0001,0.0001,100.0,,PnL MSE SR,TCS,8.0,8.0,0.006849125027656555,0.0051297349855303764,0.8465772218614962,3.34995064424829,-0.6653529793033462,1.4860545241184187,0.09329401904539185,0.6513409961685823,0.3486590038314176,False,False,0.008815481327474117,0.006214485038071871,12.717097788705276,2.3147949652869464,0.1091067085745745,0.5846153846153846,0.4153846153846154
4,0.0001,0.0001,100.0,,PnL SR,TCS,8.0,8.0,0.007428630255162716,0.005763385444879532,0.7604882892179813,3.4037200906724308,-0.7449378411426899,1.4489615972621208,0.09397187942563581,0.6628352490421456,0.3371647509578544,False,False,0.009374409914016724,0.006827190984040499,15.535080150113656,2.5850637932592573,0.11829285334052389,0.5807692307692308,0.41923076923076924
5,0.0001,0.0001,100.0,,PnL STD,TCS,8.0,8.0,0.12479142099618912,0.12291672080755234,1.6723947119428098,8.92877618928522,2.2574910109845883,0.5170009103960671,0.05179561367442014,0.0,1.0,False,False,0.12414520233869553,0.12136988341808319,4.740368863252493,0.6793909354842347,0.06011859415067107,0.0,1.0
6,0.0001,0.0001,100.0,,SR,TCS,8.0,8.0,0.4709165394306183,0.47000980377197266,1.6723947119428098,8.92877618928522,2.2574910109845883,0.5170009103960671,0.025489169255275952,0.0,1.0,False,False,0.46097198128700256,0.45915231108665466,4.740368863252493,0.6793909354842347,0.018695589311904105,0.0,1.0
7,0.0001,0.0001,100.0,,SR MSE,TCS,8.0,8.0,0.10052510350942612,0.0866670161485672,2.003037237511798,9.862575657522997,1.7565450093166335,1.0937008654895075,0.0024549710728528082,0.05747126436781609,0.9425287356321839,False,False,0.10117273777723312,0.08428644388914108,12.724941394879268,1.7865192177718014,0.0657267627749093,0.10192307692307692,0.8980769230769231
8,0.0001,0.0001,100.0,,MSE,TCS,8.0,8.0,0.009658359922468662,0.007671464700251818,-0.9556784611809337,-4.245580985628325,-1.8448959671849254,-0.09251315214809744,0.018637610226009273,0.8390804597701149,0.16091954022988506,False,False,0.011516598053276539,0.009089905768632889,0.07128255458978507,0.013907291811698363,0.061020897058940864,0.8442307692307692,0.15576923076923077
9,0.0001,0.0001,100.0,,BCE,TCS,8.0,8.0,0.009648973122239113,0.007670745253562927,-0.943982887573414,-4.188737149896292,-1.8718035709644454,-0.06794993661007899,0.020431610254534948,0.842911877394636,0.15708812260536398,False,False,0.011526588350534439,0.009097682312130928,-0.23859792122474083,-0.04643109884492002,0.05912794978693292,0.8423076923076923,0.1576923076923077
